GRB,energy,energyErr,deltaT,deltaTErr
060607A,2.14E+53,1.19E+53,18.91,3.84
070318,3.41E+52,2.14E+52,63.8,19.82
080607,1.87E+54,1.1E+53,15.63,4.32
080805,7.16E+52,1.9E+52,27.56,9.33
080810,5E+53,4.4E+52,12.38,4
081008,1.35E+53,6.6E+52,18.24,3.63
090516A,9.96E+53,1.67E+53,10.43,2.44
090812,4.4E+53,6.5E+52,17.98,4.51
131030A,3E+53,2E+52,33.73,6.55
140206A,3.58E+53,7.9E+52,26.54,4.31
140419A,1.85E+54,7.7E+53,14.03,5.74
141221A,6.99E+52,1.98E+52,38.34,9.26
151027A,3.94E+52,1.33E+52,163.5,30.39